Name,Data Url,Reynold's Number,Alpha,CL,CD
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,0,0.004,0.01525
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,0.25,0.023,0.01534
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,0.5,0.0425,0.01546
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,0.75,0.0624,0.01562
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,1,0.0826,0.01581
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,1.25,0.1032,0.01605
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,1.5,0.1241,0.01633
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,1.75,0.1452,0.01666
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,2,0.1662,0.01705
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,2.25,0.187,0.01751
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,2.5,0.2074,0.01806
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,2.75,0.2271,0.01873
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,3,0.3686,0.01876
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,3.25,0.4203,0.01799
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,3.5,0.4296,0.01757
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,3.75,0.4391,0.01888
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,4,0.4601,0.02076
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,4.25,0.4854,0.02241
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,4.5,0.5117,0.02402
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,4.75,0.5379,0.02574
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,5,0.5653,0.02749
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,5.25,0.5923,0.02943
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,5.5,0.6189,0.03159
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,5.75,0.6447,0.03389
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,6,0.6709,0.03672
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,6.25,0.6951,0.03952
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,6.5,0.7175,0.04339
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,6.75,0.7373,0.04785
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,7,0.7535,0.05289
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,7.25,0.7667,0.05833
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-50000,50000,7.5,0.7824,0.06354
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,0,-0.0007,0.01114
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,0.25,0.0187,0.01126
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,0.5,0.0393,0.01142
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,0.75,0.0606,0.01162
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,1,0.0825,0.01186
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,1.25,0.1046,0.01213
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,1.5,0.1301,0.01243
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,1.75,0.2065,0.01243
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,2,0.2759,0.01228
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,2.25,0.3134,0.01223
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,2.5,0.3352,0.01221
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,2.75,0.3524,0.01214
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-100000,100000,3,0.3697,0.01206
